,Address,Property Type,Price,Beds,Bath,Square Feet,Brokerages,Borough,Zipcode,Neighborhood,Longitude,Latitude
56,"342 Manhattan StStaten Island, NY 10307",Multi-family home ,1049000.0,4,4.0,2554.0," Homes R Us Realty of NY, Inc.",Staten Island,10307.0,South Shore,-74.2417531,40.5016233
57,"1191 Clove RdStaten Island, NY 10301",House ,998800.0,3,4.0,2400.0, American Homes Group,Staten Island,10301.0,Stapleton,-74.103996,40.6175
58,"Waldron AveStaten Island, NY 10301",House ,998800.0,3,4.0,2400.0, American Homes Group,Staten Island,10301.0,Stapleton,-74.1019085,40.618648
59,"184 Lincoln Pl Unit 2Brooklyn, NY 11217",For sale,3150000.0,3,2.0,1952.0, DEGI ,Brooklyn,11217.0,Northwest Brooklyn,-73.9742051,40.6754035
60,"263 W End Ave Apt 14CManhattan, NY 10023",Co-op ,849000.0,1,1.0,2184.207862, Brown Harris Stevens ,Manhattan,10023.0,Upper East Side,-73.9846328,40.7802357
61,"50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",Co-op ,559500.0,1,1.0,800.0, Piastro Realty LLC,Brooklyn,11235.0,South Brooklyn,-73.9669983,40.5751942
62,"333 E 66th St Apt 8ENew York, NY 10065",Co-op ,750000.0,1,1.0,835.0, Douglas Elliman ,Manhattan,10065.0,Upper East Side,-73.9593578,40.7643711
63,"150 Rivington St Apt 3GNew York, NY 10002",Condo ,1900000.0,2,2.0,1029.0, Douglas Elliman ,Manhattan,10002.0,Lower East Side,-73.9856438,40.7193408
64,"1105 Cortelyou Rd # 301Brooklyn, NY 11218",Condo ,1250000.0,2,2.0,1201.0, Corcoran,Brooklyn,11218.0,Borough Park,-73.9676099,40.6400234
65,"737 Bergen St Apt 1BBrooklyn, NY 11238",Condo ,1395000.0,2,2.0,1182.0, COMPASS,Brooklyn,11238.0,Central Brooklyn,-73.9643728,40.6787789
66,"83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",Co-op ,198000.0,1,1.0,2184.207862, Monticello Real Estate Group,Queens,11421.0,Southwest Queens,-73.8535466,40.700309
67,"35 Center PlStaten Island, NY 10306",Contingent,619888.0,3,2.0,1400.0, Better Homes and Gardens Real Estate Safari Realty,Staten Island,10306.0,South Shore,-74.1002521,40.5632116
68,"205 Wiman AveStaten Island, NY 10308",Multi-family home ,1489000.0,6,2.5,3780.0, Ashford Homes,Staten Island,10308.0,South Shore,-74.1450877,40.5395319
69,"4 E 79th StNew York, NY 10075",Townhouse ,65000000.0,3,2.5,15200.0, Sotheby's International Realty ,Manhattan,10075.0,Upper East Side,-73.9633167,40.7765613
70,"924 Lafayette Ave Unit PhBrooklyn, NY 11221",Condo ,1595000.0,3,3.0,1413.0, Serhant,Brooklyn,11221.0,Williamsburg,-73.935444,40.6915139
71,"1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",Condo ,655000.0,3,2.0,803.0, Douglas Elliman ,Brooklyn,11237.0,Williamsburg,-73.9074036,40.6967268
